duration_s,phase,file,test_name,test_id
3.24,call,tests/core/operations/test_vectorize.py,test_labels_2d_to_circles,tests/core/operations/test_vectorize.py::test_labels_2d_to_circles[True]
2.98,call,tests/core/operations/test_vectorize.py,test_labels_2d_to_circles,tests/core/operations/test_vectorize.py::test_labels_2d_to_circles[False]
2.18,call,tests/io/test_readwrite.py,test_self_contained,tests/io/test_readwrite.py::test_self_contained[sdata_container_format0]
2.1,call,tests/io/test_readwrite.py,test_roundtrip,tests/io/test_readwrite.py::TestReadWrite::test_roundtrip[full-sdata_container_format0]
1.91,call,tests/io/test_readwrite.py,test_incremental_io_on_disk,tests/io/test_readwrite.py::TestReadWrite::test_incremental_io_on_disk[1-True-sdata_container_format0]
1.89,call,tests/core/operations/test_rasterize.py,test_rasterize_points,tests/core/operations/test_rasterize.py::test_rasterize_points
1.82,call,tests/io/test_format.py,test_container_v1_to_v2,tests/io/test_format.py::TestFormatConversions::test_container_v1_to_v2
1.64,call,tests/core/operations/test_rasterize.py,test_rasterize_shapes,tests/core/operations/test_rasterize.py::test_rasterize_shapes
1.56,call,tests/dataloader/test_datasets.py,test_validation,tests/dataloader/test_datasets.py::TestImageTilesDataset::test_validation[False-blobs_labels-blobs_image]
1.54,call,tests/dataloader/test_datasets.py,test_validation,tests/dataloader/test_datasets.py::TestImageTilesDataset::test_validation[False-blobs_multiscale_labels-blobs_multiscale_image]
1.54,call,tests/io/test_readwrite.py,test_incremental_io_on_disk,tests/io/test_readwrite.py::TestReadWrite::test_incremental_io_on_disk[1-False-sdata_container_format0]
1.54,call,tests/dataloader/test_datasets.py,test_validation,tests/dataloader/test_datasets.py::TestImageTilesDataset::test_validation[False-blobs_labels-blobs_multiscale_image]
1.53,call,tests/models/test_models.py,test_categories_on_partitioned_dataframe,tests/models/test_models.py::test_categories_on_partitioned_dataframe
1.48,call,tests/io/test_metadata.py,test_save_transformations_incremental,tests/io/test_metadata.py::test_save_transformations_incremental[points_0]
1.48,call,tests/dataloader/test_datasets.py,test_validation,tests/dataloader/test_datasets.py::TestImageTilesDataset::test_validation[False-blobs_multiscale_labels-blobs_image]
1.46,call,tests/io/test_metadata.py,test_save_transformations_incremental,tests/io/test_metadata.py::test_save_transformations_incremental[image2d]
1.4,call,tests/io/test_readwrite.py,test_incremental_io_on_disk,tests/io/test_readwrite.py::TestReadWrite::test_incremental_io_on_disk[1-True-sdata_container_format1]
1.37,call,tests/io/test_readwrite.py,test_change_path_of_subset,tests/io/test_readwrite.py::test_change_path_of_subset[sdata_container_format0]
1.36,call,tests/io/test_metadata.py,test_save_transformations_incremental,tests/io/test_metadata.py::test_save_transformations_incremental[labels2d]
1.35,call,tests/core/operations/test_rasterize.py,test_rasterize_points_shapes_with_string_index,tests/core/operations/test_rasterize.py::test_rasterize_points_shapes_with_string_index
1.33,call,tests/io/test_metadata.py,test_save_transformations_incremental,tests/io/test_metadata.py::test_save_transformations_incremental[circles]
1.3,call,tests/io/test_metadata.py,test_consolidated_metadata,tests/io/test_metadata.py::test_consolidated_metadata
1.28,call,tests/io/test_readwrite.py,test_self_contained,tests/io/test_readwrite.py::test_self_contained[sdata_container_format1]
1.25,call,tests/io/test_readwrite.py,test_delete_element_from_disk,tests/io/test_readwrite.py::test_delete_element_from_disk[sdata_container_format0-table]
1.24,call,tests/io/test_readwrite.py,test_roundtrip,tests/io/test_readwrite.py::TestReadWrite::test_roundtrip[table_multiple_annotations-sdata_container_format0]
1.24,call,tests/io/test_readwrite.py,test_delete_element_from_disk,tests/io/test_readwrite.py::test_delete_element_from_disk[sdata_container_format0-points_0]
1.2,call,tests/io/test_readwrite.py,test_roundtrip,tests/io/test_readwrite.py::TestReadWrite::test_roundtrip[full-sdata_container_format1]
1.17,call,tests/io/test_readwrite.py,test_roundtrip,tests/io/test_readwrite.py::TestReadWrite::test_roundtrip[table_single_annotation-sdata_container_format0]
1.14,call,tests/io/test_readwrite.py,test_delete_element_from_disk,tests/io/test_readwrite.py::test_delete_element_from_disk[sdata_container_format0-circles]
1.08,call,tests/io/test_format.py,test_tables_v1_to_v2,tests/io/test_format.py::TestFormatConversions::test_tables_v1_to_v2
1.08,call,tests/io/test_readwrite.py,test_delete_element_from_disk,tests/io/test_readwrite.py::test_delete_element_from_disk[sdata_container_format0-labels2d]
1.07,call,tests/io/test_readwrite.py,test_delete_element_from_disk,tests/io/test_readwrite.py::test_delete_element_from_disk[sdata_container_format0-image2d]
1.06,call,tests/io/test_readwrite.py,test_overwrite_fails_when_zarr_store_present,tests/io/test_readwrite.py::TestReadWrite::test_overwrite_fails_when_zarr_store_present[sdata_container_format0]
1.04,call,tests/io/test_readwrite.py,test_element_already_on_disk_different_type,tests/io/test_readwrite.py::test_element_already_on_disk_different_type[sdata_container_format0-labels2d]
1.04,call,tests/io/test_readwrite.py,test_element_already_on_disk_different_type,tests/io/test_readwrite.py::test_element_already_on_disk_different_type[sdata_container_format0-circles]
1.04,call,tests/io/test_readwrite.py,test_incremental_io_on_disk,tests/io/test_readwrite.py::TestReadWrite::test_incremental_io_on_disk[1-False-sdata_container_format1]
1.01,call,tests/io/test_readwrite.py,test_write_store_unconsolidated_and_read,tests/io/test_readwrite.py::test_write_store_unconsolidated_and_read[sdata_container_format0]
1.0,call,tests/io/test_readwrite.py,test_can_read_sdata_with_reconsolidation,tests/io/test_readwrite.py::test_can_read_sdata_with_reconsolidation[sdata_container_format0]
0.97,call,tests/io/test_readwrite.py,test_symmetric_difference_with_zarr_store,tests/io/test_readwrite.py::test_symmetric_difference_with_zarr_store[sdata_container_format0]
0.96,call,tests/io/test_metadata.py,test_save_all_metadata,tests/io/test_metadata.py::test_save_all_metadata
0.94,call,tests/io/test_readwrite.py,test_element_already_on_disk_different_type,tests/io/test_readwrite.py::test_element_already_on_disk_different_type[sdata_container_format0-points_0]
0.94,call,tests/io/test_readwrite.py,test_element_already_on_disk_different_type,tests/io/test_readwrite.py::test_element_already_on_disk_different_type[sdata_container_format0-table]
0.91,call,tests/io/test_multi_table.py,test_set_get_tables_from_spatialdata,tests/io/test_multi_table.py::TestMultiTable::test_set_get_tables_from_spatialdata
0.9,call,tests/io/test_readwrite.py,test_roundtrip,tests/io/test_readwrite.py::TestReadWrite::test_roundtrip[table_multiple_annotations-sdata_container_format1]
0.9,call,tests/io/test_readwrite.py,test_element_already_on_disk_different_type,tests/io/test_readwrite.py::test_element_already_on_disk_different_type[sdata_container_format0-image2d]
0.89,call,tests/io/test_readwrite.py,test_roundtrip,tests/io/test_readwrite.py::TestReadWrite::test_roundtrip[table_single_annotation-sdata_container_format1]
0.89,call,tests/io/test_readwrite.py,test_incremental_io_on_disk,tests/io/test_readwrite.py::TestReadWrite::test_incremental_io_on_disk[2-False-sdata_container_format0]
0.86,call,tests/io/test_format.py,test_channel_names_raster_images_v1_to_v2_to_v3,tests/io/test_format.py::TestFormatConversions::test_channel_names_raster_images_v1_to_v2_to_v3
0.86,call,tests/io/test_readwrite.py,test_change_path_of_subset,tests/io/test_readwrite.py::test_change_path_of_subset[sdata_container_format1]
0.86,call,tests/io/test_format.py,test_raster_images_v1_to_v2_to_v3,tests/io/test_format.py::TestFormatConversions::test_raster_images_v1_to_v2_to_v3
0.86,call,tests/io/test_format.py,test_raster_labels_v1_to_v2_to_v3,tests/io/test_format.py::TestFormatConversions::test_raster_labels_v1_to_v2_to_v3
0.83,call,tests/core/operations/test_spatialdata_operations.py,test_transform_to_data_extent,tests/core/operations/test_spatialdata_operations.py::test_transform_to_data_extent[True]
0.82,call,tests/models/test_models.py,test_warning_on_large_chunks,tests/models/test_models.py::test_warning_on_large_chunks
0.79,call,tests/io/test_readwrite.py,test_delete_element_from_disk,tests/io/test_readwrite.py::test_delete_element_from_disk[sdata_container_format1-table]
0.76,call,tests/core/operations/test_transform.py,test_transform_points_with_multiple_partitions,tests/core/operations/test_transform.py::test_transform_points_with_multiple_partitions
0.74,call,tests/io/test_readwrite.py,test_overwrite_fails_when_no_zarr_store_but_dask_backed_data,tests/io/test_readwrite.py::TestReadWrite::test_overwrite_fails_when_no_zarr_store_but_dask_backed_data[sdata_container_format0]
0.71,setup,tests/io/test_partial_read.py,test_read_zarr_with_error,tests/io/test_partial_read.py::test_read_zarr_with_error[sdata_with_table_region_not_found_zarrv2]
0.71,call,tests/io/test_readwrite.py,test_delete_element_from_disk,tests/io/test_readwrite.py::test_delete_element_from_disk[sdata_container_format1-image2d]
0.69,call,tests/io/test_readwrite.py,test_replace_transformation_on_disk_raster,tests/io/test_readwrite.py::TestReadWrite::test_replace_transformation_on_disk_raster[sdata_container_format0]
0.67,call,tests/io/test_readwrite.py,test_incremental_io_on_disk,tests/io/test_readwrite.py::TestReadWrite::test_incremental_io_on_disk[2-False-sdata_container_format1]
0.67,call,tests/io/test_readwrite.py,test_can_read_sdata_with_reconsolidation,tests/io/test_readwrite.py::test_can_read_sdata_with_reconsolidation[sdata_container_format1]
0.67,call,tests/datasets/test_datasets.py,test_datasets,tests/datasets/test_datasets.py::test_datasets
0.64,call,tests/io/test_readwrite.py,test_write_store_unconsolidated_and_read,tests/io/test_readwrite.py::test_write_store_unconsolidated_and_read[sdata_container_format1]
0.64,teardown,tests/utils/test_testing.py,test_assert_elements_are_identical_metadata,tests/utils/test_testing.py::test_assert_elements_are_identical_metadata
0.62,call,tests/io/test_readwrite.py,test_single_table_single_annotation,tests/io/test_readwrite.py::TestReadWrite::test_single_table_single_annotation[sdata_container_format0]
0.62,call,tests/io/test_readwrite.py,test_single_table_multiple_annotations,tests/io/test_readwrite.py::TestReadWrite::test_single_table_multiple_annotations[sdata_container_format0]
0.62,call,tests/io/test_readwrite.py,test_element_already_on_disk_different_type,tests/io/test_readwrite.py::test_element_already_on_disk_different_type[sdata_container_format1-labels2d]
0.62,call,tests/io/test_readwrite.py,test_symmetric_difference_with_zarr_store,tests/io/test_readwrite.py::test_symmetric_difference_with_zarr_store[sdata_container_format1]
0.61,call,tests/dataloader/test_datasets.py,test_return_annot,tests/dataloader/test_datasets.py::TestImageTilesDataset::test_return_annot[None-blobs_multiscale_labels]
0.6,setup,tests/io/test_partial_read.py,test_read_zarr_with_error,tests/io/test_partial_read.py::test_read_zarr_with_error[sdata_with_missing_zattrs_element]
0.6,call,tests/io/test_readwrite.py,test_element_already_on_disk_different_type,tests/io/test_readwrite.py::test_element_already_on_disk_different_type[sdata_container_format1-image2d]
0.6,call,tests/io/test_metadata.py,test_save_transformations,tests/io/test_metadata.py::test_save_transformations
0.6,call,tests/io/test_readwrite.py,test_delete_element_from_disk,tests/io/test_readwrite.py::test_delete_element_from_disk[sdata_container_format1-circles]
0.6,setup,tests/io/test_partial_read.py,test_read_zarr_with_error,tests/io/test_partial_read.py::test_read_zarr_with_error[sdata_with_corrupted_elem_types_zgroup]
0.59,call,tests/io/test_readwrite.py,test_delete_element_from_disk,tests/io/test_readwrite.py::test_delete_element_from_disk[sdata_container_format1-points_0]
0.59,call,tests/io/test_readwrite.py,test_delete_element_from_disk,tests/io/test_readwrite.py::test_delete_element_from_disk[sdata_container_format1-labels2d]
0.59,setup,tests/io/test_partial_read.py,test_read_zarr_with_error,tests/io/test_partial_read.py::test_read_zarr_with_error[sdata_with_corrupted_zattrs_elements]
0.59,call,tests/io/test_metadata.py,test_validate_can_write_metadata_on_element,tests/io/test_metadata.py::test_validate_can_write_metadata_on_element[image2d]
0.58,call,tests/io/test_readwrite.py,test_multiple_tables,tests/io/test_readwrite.py::TestReadWrite::test_multiple_tables[sdata_container_format0]
0.58,call,tests/io/test_metadata.py,test_validate_can_write_metadata_on_element,tests/io/test_metadata.py::test_validate_can_write_metadata_on_element[circles]
0.58,setup,tests/io/test_partial_read.py,test_read_zarr_with_error,tests/io/test_partial_read.py::test_read_zarr_with_error[sdata_with_corrupted_parquet_zarrv2]
0.58,setup,tests/io/test_partial_read.py,test_read_zarr_with_error,tests/io/test_partial_read.py::test_read_zarr_with_error[sdata_with_invalid_zattrs_element_violating_spec]
0.58,setup,tests/io/test_partial_read.py,test_read_zarr_with_error,tests/io/test_partial_read.py::test_read_zarr_with_error[sdata_with_corrupted_image_chunks_zarrv2]
0.57,setup,tests/io/test_partial_read.py,test_read_zarr_with_error,tests/io/test_partial_read.py::test_read_zarr_with_error[sdata_with_missing_image_chunks_zarrv2]
0.56,call,tests/io/test_readwrite.py,test_overwrite_fails_when_zarr_store_present,tests/io/test_readwrite.py::TestReadWrite::test_overwrite_fails_when_zarr_store_present[sdata_container_format1]
0.56,call,tests/io/test_readwrite.py,test_replace_transformation_on_disk_raster,tests/io/test_readwrite.py::TestReadWrite::test_replace_transformation_on_disk_raster[sdata_container_format1]
0.56,call,tests/io/test_readwrite.py,test_roundtrip,tests/io/test_readwrite.py::TestReadWrite::test_roundtrip[labels-sdata_container_format0]
0.55,call,tests/io/test_readwrite.py,test_element_already_on_disk_different_type,tests/io/test_readwrite.py::test_element_already_on_disk_different_type[sdata_container_format1-points_0]
